Year,Rank,Company,Revenue (in millions),Profit (in millions)
2009,498,Big Lots,"4,645.30",151.5
2009,499,Dollar Tree,"4,644.90",229.5
2009,500,Legg Mason,"4,634.10",267.6
2009,501,USG,"4,608.00",-463
2009,502,Genzyme,"4,605.00",421.1
2009,503,Robert Half International,"4,600.60",250.2
2009,504,Neiman Marcus,"4,600.50",142.8
2009,505,Lennar,"4,575.40","-1,109.10"
2009,506,Core-Mark Holding,"4,570.50",17.9
2009,507,Lexmark International,"4,528.40",240.2
2009,508,Chiquita Brands International,"4,524.10",-323.7
2009,509,Amerigroup,"4,516.00",-50.7
2009,510,Laboratory Corp. of America,"4,505.20",464.5
2009,511,Health Management Associates,"4,489.30",167.2
2009,512,Stanley Works,"4,487.00",313.3
2009,513,Flowserve,"4,473.50",442.4
2009,514,Washington Post,"4,461.60",65.7
2009,515,Wisconsin Energy,"4,431.00",359.1
2009,516,Casey's General Stores,"4,429.30",84.9
2009,517,Allergan,"4,403.40",578.6
2009,518,Levi Strauss,"4,400.90",229.3
2009,519,Las Vegas Sands,"4,389.90",-163.6
2009,520,St. Jude Medical,"4,363.30",384.3
2009,521,NewPage Holding,"4,356.00",-142
2009,522,Energizer Holdings,"4,331.00",329.3
2009,523,Fidelity National Financial,"4,329.10",-179
2009,524,Live Nation,"4,327.10",-231.8
2009,525,Mutual of Omaha Insurance,"4,312.00",-58.2
2009,526,Level 3 Communications,"4,301.00",-290
2009,527,American Financial Group,"4,292.70",195.8
2009,528,Wyndham Worldwide,"4,281.00","-1,074.00"
2009,529,CA,"4,277.00",500
2009,530,NII Holdings,"4,269.40",369.1
2009,531,Seaboard,"4,267.80",146.9
2009,532,Hanesbrands,"4,248.80",127.2
2009,533,Brinker International,"4,235.20",51.7
2009,534,RadioShack,"4,224.50",192.4
2009,535,M&T Bank Corp.,"4,216.60",555.9
2009,536,Nalco Holding,"4,212.40",-342.6
2009,537,Conseco,"4,194.40","-1,126.70"
2009,538,Kindred Healthcare,"4,194.00",36.3
2009,539,Alliant Techsystems,"4,171.70",222.3
2009,540,Adams Resources & Energy,"4,159.70",-5.6
2009,541,Dick's Sporting Goods,"4,130.10",-35.1
2009,542,Sonoco Products,"4,122.40",164.6
2009,543,Zimmer Holdings,"4,121.10",848.6
2009,544,Harman International Industries,"4,112.50",107.8
2009,545,Unified Grocers,"4,104.80",17.4
2009,546,Biogen Idec,"4,097.50",783.2
2009,547,Graphic Packaging Holding,"4,079.40",-99.7
2009,548,OGE Energy,"4,070.70",231.4
2009,549,Liz Claiborne,"4,061.80",-951.8
2009,550,Marshall & Ilsley Corp.,"4,025.80","-2,043.50"
2009,551,Pacific Life,"4,023.00",-289
2009,552,Hasbro,"4,021.50",306.8
2009,553,Airgas,"4,017.00",223.3
2009,554,CommScope,"4,016.60",-228.5
2009,555,Ruddick,"3,992.40",96.8
2009,556,H&R Block,"3,980.70",-308.6
2009,557,Harsco,"3,967.80",240.9
2009,558,Susser Holdings,"3,966.40",16.5
2009,559,Comerica,"3,944.00",213
2009,560,Corn Products International,"3,943.60",267.2
2009,561,Cintas,"3,937.90",335.4
2009,562,Discovery Communications,"3,927.00",317
2009,563,CF Industries Holdings,"3,921.10",684.6
2009,564,Noble Energy,"3,901.00","1,350.00"
2009,565,Solutia,"3,890.00",786
2009,566,Temple-Inland,"3,884.00",-8
2009,567,Trinity Industries,"3,882.80",285.8
2009,568,Jones Financial,"3,859.00",311.8
2009,569,Forest Laboratories,"3,836.30",967.9
2009,570,Cincinnati Financial,"3,824.40",428.7
2009,571,Michaels Stores,"3,817.00",-5
2009,572,New Jersey Resources,"3,816.20",113.9
2009,573,Simon Property Group,"3,783.20",463.6
2009,574,Quanta Services,"3,780.20",166.7
2009,575,Bemis,"3,779.40",166.2
2009,576,Greif,"3,776.80",234.4
2009,577,Nicor,"3,776.60",119.5
2009,578,Constellation Brands,"3,773.00",-613
2009,579,VWR Funding,"3,759.20",-334.6
2009,580,Stater Bros. Holdings,"3,741.30",40.6
2009,581,ABM Industries,"3,738.50",45.4
2009,582,Del Monte Foods,"3,737.40",133.1
2009,583,J.B. Hunt Transport Services,"3,731.90",200.6
2009,584,NVR,"3,714.10",100.9
2009,585,Exide Technologies,"3,696.70",32.1
2009,586,Westlake Chemical,"3,692.40",-29.5
2009,587,Republic Services,"3,685.10",73.8
2009,588,Alliant Energy,"3,681.70",288
2009,589,Nacco Industries,"3,680.30",-437.6
2009,590,Electronic Arts,"3,665.00",-454
2009,591,Alaska Air Group,"3,662.60",-135.9
2009,592,Vulcan Materials,"3,651.40",-4.1
2009,593,Nasdaq OMX Group,"3,648.70",319.9
2009,594,RPM International,"3,643.80",47.7
2009,595,Schnitzer Steel Industries,"3,641.60",248.7
2009,596,Cytec Industries,"3,639.90",-198.8
2009,597,Hospira,"3,629.50",320.9
2009,598,Jones Apparel Group,"3,616.40",-765.4
2009,599,Cliffs Natural Resources,"3,609.10",515.8
2009,600,Brink's,"3,605.90",183.3
2009,601,Adobe Systems,"3,579.90",871.8
2009,602,O'Reilly Automotive,"3,576.60",186.2
2009,603,Juniper Networks,"3,572.40",511.7
2009,604,Pactiv,"3,567.00",217
2009,605,Dynegy,"3,549.00",174
2009,606,Chemtura,"3,546.00",-973
2009,607,Abercrombie & Fitch,"3,540.30",272.3
2009,608,NV Energy,"3,528.10",208.9
2009,609,Centene,"3,515.20",83.5
2009,610,Berry Plastics,"3,513.10",-101.1
2009,611,Huntington Bancshares,"3,505.50",-113.8
2009,612,Fidelity National Information Services,"3,503.60",214.8
2009,613,Belk,"3,499.40",-213
2009,614,Skywest,"3,496.20",112.9
2009,615,Lennox International,"3,493.60",122.8
2009,616,Warner Music Group,"3,491.00",-56
2009,617,Andersons,"3,489.50",32.9
2009,618,Valspar,"3,482.40",150.8
2009,619,Questar,"3,465.10",683.8
2009,620,Collective Brands,"3,442.00",-68.7
2009,621,Pinnacle West Capital,"3,435.10",242.1
2009,622,Rockwood Holdings,"3,435.00",-588.4
2009,623,Nvidia,"3,424.90",-30
2009,624,Burlington Coat Factory,"3,424.00",-49
2009,625,Steelcase,"3,420.80",133.2
2009,626,Joy Global,"3,418.90",374.3
2009,627,Pentair,"3,395.30",228.7
2009,628,Armstrong World Industries,"3,393.00",81
2009,629,JetBlue Airways,"3,388.00",-76
2009,630,Allegheny Energy,"3,385.90",395.4
2009,631,JohnsonDiversey,"3,380.80",-11.8
2009,632,TECO Energy,"3,375.30",162.4
2009,633,BearingPoint,"3,369.80",-204.2
2009,634,United Natural Foods,"3,365.90",48.5
2009,635,ServiceMaster,"3,362.30",-126.4
2009,636,General Growth Properties,"3,361.50",26.3
2009,637,Williams-Sonoma,"3,361.50",30
2009,638,Puget Energy,"3,357.80",154.9
2009,639,Borders Group,"3,356.20",-186.7
2009,640,SanDisk,"3,351.40","-2,056.80"
2009,641,NSTAR,"3,345.40",237.5
2009,642,Molex,"3,328.30",215.4
2009,643,Torchmark,"3,326.90",452.3
2009,644,W.R. Grace,"3,317.00",121.5
2009,645,Hovnanian Enterprises,"3,308.10","-1,124.60"
2009,646,US Oncology Holdings,"3,304.20",-412.5
2009,647,NetApp,"3,303.20",309.7
2009,648,DRS Technologies,"3,295.40",165.8
2009,649,United Rentals,"3,267.00",-704
2009,650,Ingles Markets,"3,238.00",52.1
2009,651,Old Republic International,"3,237.70",-558.3
2009,652,Amphenol,"3,236.50",419.2
2009,653,Hewitt Associates,"3,227.60",188.1
2009,654,Bon-Ton Stores,"3,225.40",-169.9
2009,655,Hawaiian Electric Industries,"3,218.90",90.3
2009,656,Windstream,"3,213.50",412.7
2009,657,Raymond James Financial,"3,204.90",235.1
2009,658,Cabot,"3,191.00",86
2009,659,E*Trade Financial,"3,188.20",-511.8
2009,660,Mirant,"3,188.00","1,265.00"
2009,661,Coach,"3,180.90",783.1
2009,662,Exterran Holdings,"3,178.70",-947.3
2009,663,Carlisle,"3,177.50",55.9
2009,664,McCormick,"3,176.60",255.8
2009,665,Diebold,"3,170.10",88.6
2009,666,Zions Bancorp.,"3,164.60",-266.3
2009,667,Toll Brothers,"3,158.20",-297.8
2009,668,Country Ins. & Financial Services,"3,155.10",5.2
2009,669,Apollo Group,"3,140.90",476.5
2009,670,Popular,"3,134.90","-1,243.90"
2009,671,Silgan Holdings,"3,121.00",131.6
2009,672,FMC,"3,115.30",304.6
2009,673,Molina Healthcare,"3,112.40",62.4
2009,674,Sovereign Bancorp,"3,104.40","-2,357.20"
2009,675,Beckman Coulter,"3,098.90",194
2009,676,First Horizon National Corp.,"3,098.00",-192
2009,677,Saks,"3,082.00",-154.9
2009,678,Intuit,"3,072.90",476.8
2009,679,Southern Union,"3,070.20",295.2
2009,680,Worthington Industries,"3,067.20",107.1
2009,681,Iron Mountain,"3,055.10",82
2009,682,KB Home,"3,033.90",-976.1
2009,683,Systemax,"3,033.00",52.8
2009,684,Tractor Supply,"3,007.90",81.9
2009,685,Jack in the Box,"3,001.40",119.3
2009,686,Erie Insurance Group,"3,001.40",69.2
2009,687,Patterson,"2,998.70",224.9
2009,688,United Refining,"2,994.20",-49.9
2009,689,Massey Energy,"2,989.80",56.2
2009,690,American Eagle Outfitters,"2,988.90",179.1
2009,691,Wynn Resorts,"2,987.30",210.2
2009,692,Arch Coal,"2,983.80",354.3
2009,693,Scotts Miracle-Gro,"2,981.80",-10.9
2009,694,Boise Cascade Holdings,"2,977.50",-288
2009,695,Idearc,"2,973.00",183
2009,696,PHH,"2,960.00",-254
2009,697,New York Times,"2,948.90",-57.8
2009,698,Oil States International,"2,948.50",222.7
2009,699,Expedia,"2,937.00","-2,517.80"
2009,700,Snap-On,"2,934.70",236.7
2009,701,VeraSun Energy,"2,928.50",-440.7
2009,702,Vornado Realty Trust,"2,919.40",395
2009,703,Georgia Gulf,"2,916.50",-257.6
2009,704,Terra Industries,"2,909.80",641
2009,705,Activision Blizzard,"2,898.10",344.9
2009,706,Rent A Center,"2,884.20",139.6
2009,707,Cooper Tire & Rubber,"2,881.80",-219.4
2009,708,LandAmerica Financial Group,"2,876.00",-719.7
2009,709,Tiffany & Co,"2,860.00",220
2009,710,IAC/InterActiveCorp,"2,849.70",-156.2
2009,711,Rock-Tenn,"2,838.90",81.8
2009,712,Vishay Intertechnology,"2,833.20","-1,731.40"
2009,713,Ralcorp Holdings,"2,824.40",167.8
2009,714,HSN,"2,823.60","-2,390.90"
2009,715,Unitrin,"2,819.70",-29.6
2009,716,Cognizant Technology Solutions,"2,816.30",430.8
2009,717,AGL Resources,"2,800.00",217
2009,718,Interstate Bakeries,"2,798.30",-143.7
2009,719,Vanguard Health Systems,"2,789.20",-0.7
2009,720,TD Ameritrade,"2,787.00",803.9
2009,721,Convergys,"2,785.80",-92.9
2009,722,BlueLinx Holdings,"2,779.70",-31.7
2009,723,Perot Systems,"2,779.00",117
2009,724,Regal Entertainment Group,"2,771.90",72.5
2009,725,Hanover Insurance Group,"2,757.10",20.6
2009,726,LifePoint Hospitals,"2,753.80",114.5
2009,727,MetroPCS Communications,"2,751.50",149.4
2009,728,Buildings Materials Corp. of America,"2,748.90",51.4
2009,729,Securian Financial Group,"2,745.60",-258.6
2009,730,Regis,"2,738.90",85.2
2009,731,PolyOne,"2,738.70",-272.9
2009,732,Kennametal,"2,705.10",167.8
2009,733,Hubbell,"2,704.40",222.7
2009,734,Analog Devices,"2,698.50",786.3
2009,735,Jones Lang LaSalle,"2,697.60",84.9
2009,736,Spectrum Brands,"2,692.70",-931.5
2009,737,LSI,"2,677.10",-622.3
2009,738,Granite Construction,"2,674.20",122.4
2009,739,StanCorp Financial,"2,667.00",162.9
2009,740,Hudson City Bancorp,"2,661.70",445.6
2009,741,Amkor Technology,"2,658.60",-456.7
2009,742,Sally Beauty Holdings,"2,648.20",77.6
2009,743,Landstar System,"2,643.10",110.9
2009,744,Thor Industries,"2,640.70",92.7
2009,745,Quiksilver,"2,638.80",-226.3
2009,746,Thomas & Betts,"2,637.80",265.3
2009,747,Charming Shoppes,"2,630.70",-244.2
2009,748,WGL Holdings,"2,628.20",116.5
2009,749,Magellan Health Services,"2,625.40",86.2
2009,750,R.H. Donnelley,"2,616.80","-2,298.30"
2009,751,Spartan Stores,"2,616.00",34.3
2009,752,Crane,"2,604.30",135.2
2009,753,CenturyTel,"2,599.70",365.7
2009,754,Cooper-Standard Holdings,"2,594.60",-121.5
2009,755,Benchmark Electronics,"2,590.20",-135.6
2009,756,WABCO Holdings,"2,588.00",213.3
2009,757,Graham Packaging,"2,583.70",-57.3
2009,758,Brown-Forman,"2,582.00",440
2009,759,Lithia Motors,"2,572.50",-252.6
2009,760,Pall,"2,571.60",217.3
2009,761,CME Group,"2,561.00",715.5
2009,762,Alpha Natural Resources,"2,561.00",165.5
2009,763,Mueller Industries,"2,558.40",80.8
2009,764,Cabela's,"2,552.70",76.4
2009,765,AirTran Holdings,"2,552.50",-273.8
2009,766,FM Global,"2,545.10",-318
2009,767,Catalyst Health Solutions,"2,543.40",50.4
2009,768,AmeriCredit,"2,543.10",-69.3
2009,769,Watson Pharmaceuticals,"2,535.50",238.4
2009,770,Ametek,"2,531.10",247
2009,771,International Game Technology,"2,528.60",342.5
2009,772,American National Insurance,"2,526.80",-154
2009,773,J.M. Smucker,"2,524.80",170.4
2009,774,Kla-Tencor,"2,521.70",359.1
2009,775,Bucyrus International,"2,505.80",233.3
2009,776,Protective Life,"2,505.60",-41.9
2009,777,AMC Entertainment,"2,504.30",43.4
2009,778,Phillips-Van Heusen,"2,491.90",91.8
2009,779,Calumet Specialty Products,"2,489.00",44.4
2009,780,Source Interlink Cos.,"2,488.30",-360.8
2009,781,ENSCO International,"2,486.60","1,150.80"
2009,782,Vectren,"2,484.70",129
2009,783,Volt Information Sciences,"2,481.40",64.2
2009,784,Lincoln Electric Holdings,"2,479.10",212.3
2009,785,HNI,"2,477.60",45.5
2009,786,Lam Research,"2,474.90",439.3
2009,787,Pride International,"2,468.80",852.1
2009,788,Albemarle,"2,467.10",194.2
2009,789,PNM Resources,"2,466.50",-270.6
2009,790,Burger King Holdings,"2,455.00",190
2009,791,C.R. Bard,"2,452.10",416.5
2009,792,CUNA Mutual Group,"2,432.60",-148.9
2009,793,Boise,"2,430.60",-22.7
2009,794,Penn National Gaming,"2,423.10",-153.3
2009,795,Church & Dwight,"2,422.40",195.2
2009,796,Weis Markets,"2,422.40",47
2009,797,Teleflex,"2,420.90",119.8
2009,798,CACI International,"2,420.50",83.3
2009,799,Flowers Foods,"2,414.90",119.2
2009,800,Mercury General,"2,414.20",-242.1
2009,801,Scholastic,"2,412.60",-17.2
2009,802,Plains Exploration and Production,"2,403.50",-709.1
2009,803,National Fuel Gas,"2,400.40",268.7
2009,804,National Life Group,"2,399.50",-41.9
2009,805,Intl. Flavors & Fragrances,"2,389.40",229.6
2009,806,Medical Mutual of Ohio,"2,387.10",73.5
2009,807,Cracker Barrel Old Country Store,"2,384.50",65.6
2009,808,Biomet,"2,383.30","-1,018.80"
2009,809,Valassis Communications,"2,381.90",-207.5
2009,810,Annaly Capital Management,"2,366.30",346.2
2009,811,Applied Biosystems,"2,361.50",213.8
2009,812,Packaging Corp. of America,"2,360.50",135.6
2009,813,Fastenal,"2,340.40",279.7
2009,814,Pioneer Natural Resources,"2,340.10",220.1
2009,815,NTK Holdings,"2,339.10",-700.9
2009,816,Great Plains Energy,"2,337.50",154.5
2009,817,IMS Health,"2,329.50",311.3
2009,818,Autodesk,"2,315.20",183.6
2009,819,Southwestern Energy,"2,311.60",567.9
2009,820,Roper Industries,"2,306.40",286.5
2009,821,Ferro,"2,306.10",-39.7
2009,822,A.O. Smith,"2,304.90",81.9
2009,823,Synovus Financial Corp.,"2,292.80",-582.4
2009,824,Ferrellgas Partners,"2,290.70",24.7
2009,825,DST Systems,"2,285.40",242.9
2009,826,Spansion,"2,281.90",-401.9
2009,827,HCC Insurance Holdings,"2,279.40",304.8
2009,828,Brown Shoe,"2,276.40",-133.2
2009,829,Laclede Group,"2,274.40",77.9
2009,830,Celgene,"2,254.80","-1,533.70"
2009,831,Aventine Renewable Energy Holdings,"2,248.30",-47.1
2009,832,West,"2,247.40",19.5
2009,833,Regal-Beloit,"2,246.20",128.6
2009,834,Frontier Communications,"2,237.00",182.7
2009,835,Broadridge Financial Solutions,"2,234.10",192.2
2009,836,Donaldson,"2,232.50",172
2009,837,Universal Forest Products,"2,232.40",4.3
2009,838,Newfield Exploration,"2,225.00",-373
2009,839,MPS Group,"2,222.30",-236
2009,840,Rowan Cos.,"2,212.70",427.6
2009,841,Patterson-UTI Energy,"2,209.10",347.1
2009,842,Sigma-Aldrich,"2,200.70",341.5
2009,843,Alliance Data Systems,"2,199.00",217.4
2009,844,Dresser-Rand Group,"2,194.70",197.7
2009,845,Zale,"2,194.60",10.8
2009,846,AnnTaylor Stores,"2,194.60",-333.9
2009,847,Dentsply International,"2,193.70",283.9
2009,848,Spherion,"2,189.20",-118.5
2009,849,HealthSpring,"2,188.30",119
2009,850,Universal,"2,186.20",119.2
2009,851,Interactive Brokers Group,"2,182.10",93
2009,852,NBTY,"2,179.50",153.2
2009,853,Affinia Group Intermediate Holdings,"2,178.00",-3
2009,854,ScanSource,"2,175.50",55.6
2009,855,Werner Enterprises,"2,165.60",67.6
2009,856,Hayes Lemmerz,"2,165.20",-99.5
2009,857,Tupperware Brands,"2,161.80",161.4
2009,858,Metals USA Holdings,"2,156.20",72.6
2009,859,Service Corp. International,"2,155.60",97.1
2009,860,Imation,"2,154.60",-33.3
2009,861,Select Medical Holdings,"2,153.40",22.4
2009,862,Briggs & Stratton,"2,151.40",22.6
2009,863,Phoenix,"2,150.90",-726
2009,864,Atlas America,"2,149.90",-6.2
2009,865,Equity Residential,"2,148.90",420.1
2009,866,Helix Energy Solutions Group,"2,148.30",-630.8
2009,867,Southwest Gas,"2,144.70",61
2009,868,DynCorp International,"2,139.80",48
2009,869,Acuity Brands,"2,124.40",148.3
2009,870,Martin Marietta Materials,"2,124.00",176.3
2009,871,T. Rowe Price,"2,121.30",490.8
2009,872,Iasis Healthcare,"2,115.50",36.3
2009,873,BE Aerospace,"2,110.00",-99.4
2009,874,American Axle & Manufacturing,"2,109.20","-1,224.30"
2009,875,Warnaco Group,"2,107.60",47.3
2009,876,Varian Medical Systems,"2,104.90",279.5
2009,877,Cenveo,"2,098.70",-298
2009,878,Guess,"2,093.40",213.6
2009,879,Sauer-Danfoss,"2,090.50",-29.1
2009,880,Applied Industrial Technologies,"2,089.50",95.5
2009,881,Piedmont Natural Gas,"2,089.10",110
2009,882,Pacer International,"2,087.70",-16.6
2009,883,Beazer Homes USA,"2,078.10",-951.9
2009,884,AptarGroup,"2,071.70",153.5
2009,885,Paychex,"2,066.30",576.1
2009,886,ON Semiconductor,"2,054.80",-380.1
2009,887,Maxim Integrated Products,"2,052.80",317.7
2009,888,Univision Communications,"2,049.80","-5,127.30"
2009,889,Amerco,"2,049.20",67.8
2009,890,Carpenter Technology,"2,042.40",277.7
2009,891,Helmerich & Payne,"2,036.50",461.7
2009,892,Alexander & Baldwin,"2,031.00",132
2009,893,Enersys,"2,026.60",59.7
2009,894,PerkinElmer,"2,022.90",126.4
2009,895,Alliance One International,"2,018.50",16.9
2009,896,Gardner Denver,"2,018.30",166
2009,897,Herman Miller,"2,012.10",152.3
2009,898,Belden,"2,005.90",-361
2009,899,MEMC Electronic Materials,"2,004.50",387.4
2009,900,A. Schulman,"1,984.00",18
2009,901,Oceaneering International,"1,977.40",199.4
2009,902,Ryland Group,"1,976.10",-396.6
2009,903,Cephalon,"1,974.60",222.5
2009,904,Mettler-Toledo International,"1,973.30",202.8
2009,905,Men's Wearhouse,"1,972.40",58.8
2009,906,Key Energy Services,"1,972.10",84.1
2009,907,Century Aluminum,"1,970.80",-898.3
2009,908,Cimarex Energy,"1,970.30",-901.7
2009,909,Leap Wireless International,"1,958.90",-147.8
2009,910,Baldor Electric,"1,954.70",99.4
2009,911,Polaris Industries,"1,948.30",117.4
2009,912,PharMerica,"1,947.30",5
2009,913,Total System Services,"1,938.60",250.1
2009,914,LKQ,"1,937.30",99.9
2009,915,Equifax,"1,935.70",272.8
2009,916,Brookdale Senior Living,"1,928.10",-373.2
2009,917,Pep Boys,"1,927.80",-30.4
2009,918,Itron,"1,909.60",28.1
2009,919,Valmont Industries,"1,907.30",132.4
2009,920,M&F Worldwide,"1,906.20",67.7
2009,921,Moog,"1,902.70",119.1
2009,922,Jo-Ann Stores,"1,901.10",21.9
2009,923,McClatchy,"1,900.50",-4
2009,924,Markel,"1,898.30",-58.8
2009,925,Complete Production Services,"1,898.10",-85.5
2009,926,Buckeye GP Holdings,"1,896.70",26.5
2009,927,Teledyne Technologies,"1,893.00",111.3
2009,928,National Semiconductor,"1,885.90",332.3
2009,929,A?ropostale,"1,885.50",149.4
2009,930,Retail Ventures,"1,885.00",-68.9
2009,931,Priceline.com,"1,884.80",193.5
2009,932,Sun Healthcare Group,"1,883.70",109.3
2009,933,Superior Energy Services,"1,881.10",361.7
2009,934,Sentry Insurance Group,"1,879.60",78.1
2009,935,Inergy Holdings,"1,878.90",35.5
2009,936,Toro,"1,878.20",119.7
2009,937,IDT,"1,878.00",-224.3
2009,938,Kinetic Concepts,"1,877.90",173.9
2009,939,Modine Manufacturing,"1,877.80",-65.6
2009,940,HealthSouth,"1,871.20",252.4
2009,941,ManTech International,"1,870.90",90.3
2009,942,Hill-Rom Holdings,"1,862.00",115.8
2009,943,Lender Processing Services,"1,861.90",230.9
2009,944,Hub Group,"1,860.60",59.2
2009,945,Mueller Water Products,"1,859.30",42
2009,946,PSS World Medical,"1,855.80",56.8
2009,947,RBS Global,"1,853.50",40.9
2009,948,Kansas City Southern,"1,852.10",183.9
2009,949,Solo Cup,"1,847.00",-12.1
2009,950,Plexus,"1,841.60",84.1
2009,951,Xilinx,"1,841.40",374
2009,952,Westar Energy,"1,839.00",178.1
2009,953,Urban Outfitters,"1,834.60",199.4
2009,954,Arkansas Best,"1,833.10",29.2
2009,955,Curtiss-Wright,"1,830.10",109.4
2009,956,Covance,"1,827.10",196.8
2009,957,Wendy's/Arby's Group,"1,822.80",-479.7
2009,958,Perrigo,"1,822.10",135.8
2009,959,Radian Group,"1,808.00",-410.6
2009,960,E.W. Scripps,"1,806.20",-476.6
2009,961,Michael Foods,"1,804.40",46.9
2009,962,Cypress Semiconductor,"1,803.00",-430.3
2009,963,Fred's,"1,798.80",16.6
2009,964,Vought Aircraft Industries,"1,796.60",93.7
2009,965,Beacon Roofing Supply,"1,784.50",40.3
2009,966,Pool,"1,783.70",57
2009,967,Boyd Gaming,"1,781.00",-223
2009,968,Psychiatric Solutions,"1,780.80",105
2009,969,MSC Industrial Direct,"1,779.80",196.2
2009,970,American Greetings,"1,776.80",83
2009,971,Duane Reade Holdings,"1,774.00",-72.8
2009,972,Mutual of America Life,"1,772.90",-53.5
2009,973,KAR Holdings,"1,771.40",-216.2
2009,974,Verso Paper,"1,766.80",-62.8
2009,975,RSC Holdings,"1,765.20",122.5
2009,976,Olin,"1,764.50",157.7
2009,977,Bio-Rad Laboratories,"1,764.40",89.5
2009,978,NCI Building Systems,"1,764.20",78.9
2009,979,Teradata,"1,762.00",250
2009,980,Watson Wyatt Worldwide,"1,760.10",155.4
2009,981,Children's Place Retail Stores,"1,759.50",82.4
2009,982,Furniture Brands International,"1,758.50",-385.9
2009,983,Invacare,"1,755.70",38.6
2009,984,Moody's,"1,755.40",457.6
2009,985,PC Connection,"1,753.70",10.4
2009,986,Public Storage,"1,745.60",935.2
2009,987,Portland General Electric,"1,745.00",87
2009,988,Eagle Rock Energy Partners,"1,743.30",87.5
2009,989,Cinemark Holdings,"1,742.30",-48.3
2009,990,Sunrise Senior Living,"1,741.40",-439.2
2009,991,Bob Evans Farms,"1,737.00",64.9
2009,992,OM Group,"1,736.80",135
2009,993,Fleetwood Enterprises,"1,736.60",-1
2009,994,BMC Software,"1,731.60",313.6
2009,995,Dun & Bradstreet,"1,730.40",310.6
2009,996,Tellabs,"1,729.00",-930.1
2009,997,Administaff,"1,724.40",45.8
2009,998,Sanderson Farms,"1,723.60",-43.1
2009,999,MGIC Investment,"1,721.50",-518.9
2009,1000,Career Education,"1,720.80",60.1
